full_name,spec_B,diameter,epoch,a,e,i,om,w,ma,moid
"   433 Eros (1898 DQ)",S,16.84,2458600.5,1.458112258549551,.2227357205256897,10.82856732664407,304.3062624764607,178.8213598069167,47.2394600142737,.149341
"   887 Alinda (1918 DB)",,4.2,2458600.5,2.476487672790801,.569115637583157,9.384536496398507,110.4284807992257,350.41432328,193.414344736594,.0865708
"  1036 Ganymed (1924 TD)",S,37.675,2458600.5,2.664145333304944,.533234731246704,26.68761298568435,215.5575046748637,132.3963555750316,274.1561977877303,.343497
"  1221 Amor (1932 EA1)",,1.0,2458600.5,1.91941566321919,.4353210351202446,11.87652956555689,171.3372302802219,26.6748196824311,250.2803094387659,.107716
"  1566 Icarus (1949 MA)",,1.0,2458600.5,1.078094607698457,.8269277670337161,22.82649436607058,88.00472388247528,31.38082134441564,199.9259551544174,.0342747
"  1580 Betulia (1950 KA)",,5.8,2458600.5,2.196729768306549,.4875957095290629,52.098230224,62.29224456812244,159.5055235075437,74.0179593176497,.135315
"  1620 Geographos (1951 RA)",S,2.56,2458600.5,1.245302338558109,.3354405167711772,13.33734785803494,337.1954001413222,276.915035067276,311.5329664098991,.0298285
"  1627 Ivar (1929 SH)",S,9.12,2458600.5,1.863481492945368,.3966132601586651,8.450367690677561,133.1221743704905,167.7698101571035,101.5580083777006,.11161
"  1685 Toro (1948 OA)",S,3.4,2458600.5,1.367431915074258,.4360613823094916,9.38341668856663,274.2458433388088,127.2205979281958,43.69210505570832,.0507259
"  1862 Apollo (1932 HA)",Q,1.5,2458600.5,1.47004510545699,.5598233975579915,6.355123008466338,35.6305446544467,285.9707515414394,227.3798255988188,.0259212
"  1863 Antinous (1948 EA)",Sq,2.1,2458600.5,2.258732646881472,.6065678065878067,18.40010586275719,346.4438822233002,268.0619559218463,313.6604459825436,.182839
"  1864 Daedalus (1971 FA)",Sr,3.7,2458600.5,1.461087899010191,.614376090301885,22.20872495951641,6.633243483514217,325.626041070623,357.9815287824834,.269151
"  1865 Cerberus (1971 UA)",S,1.2,2458600.5,1.080048254638122,.4668656029659732,16.09630965152555,212.9252351535451,325.2556214315757,12.03974233315358,.156505
"  1866 Sisyphus (1972 XA)",S,8.48,2458600.5,1.89397155648269,.5380638787032164,41.20139086748058,63.49506347312244,293.0598919138043,312.9148638502106,.104496
"  1915 Quetzalcoatl (1953 EA)",,0.5,2458600.5,2.543337485245394,.5704927517813837,20.40373088494313,162.9369147385637,347.8537799008055,158.3285707607058,.10862
"  1916 Boreas (1953 RA)",S,3.5,2458600.5,2.273106337718964,.449449653550224,12.87719553988852,340.6145572127667,335.8399310452219,64.70467706970035,.252456
"  1917 Cuyo (1968 AA)",Sl,5.7,2458600.5,2.148813259479384,.5056043637794707,23.96210856190418,188.3112290381987,194.5301336175624,129.4029355278666,.071629
"  1943 Anteros (1973 EC)",L,2.3,2458600.5,1.430457204396518,.2560007022479815,8.706410855558776,246.3308387890281,338.392152999114,317.7819362798103,.0622122
"  1980 Tezcatlipoca (1950 LA)",Sl,4.3,2458600.5,1.70952097395044,.3647443715989342,26.86959039869459,246.5742662973466,115.45306662515,233.2322647122028,.245309
"  1981 Midas (1973 EA)",V,3.4,2458600.5,1.776599538133666,.650353417909928,39.82689586872458,356.886302133863,267.7977398881659,146.2687119598268,.00371125
"  2061 Anza (1960 UA)",,2.6,2458600.5,2.264865880852141,.5354831542165049,3.798259051526492,207.3910131805888,157.034334318224,64.84105952359286,.0560425
"  2062 Aten (1976 AA)",Sr,1.1,2455926.5,.9667898316324987,.1827171340905242,18.93368681084476,108.6003764318441,148.0354055966093,172.267762763347,.113146
"  2100 Ra-Shalom (1978 RA)",Xc,2.3,2458600.5,.832030192652044,.4364984545226012,15.75341875532101,170.8136988703326,356.0610619365422,12.26948934106644,.149853
"  2101 Adonis (1936 CA)",,0.6,2458600.5,1.874230110065124,.7644220916292501,1.323673143507661,349.5700994114479,43.55056640364229,182.5297445789602,.0116225
"  2102 Tantalus (1975 YA)",Q,1.649,2458600.5,1.290099740925321,.2991815075859912,64.00689761155139,94.36244650565556,61.53939808194688,172.9411295135752,.0434647
"  2201 Oljato (1947 XC)",Sq,1.80,2458600.5,2.174290202658512,.7129028381618588,2.522431727583554,74.98800058446584,98.26027814502456,80.08208777997029,.00318058
"  2212 Hephaistos (1978 SB)",,5.7,2458600.5,2.159671477860031,.8377087266838923,11.5531145465885,27.54045186855847,209.3813849263021,284.6685646236277,.115947
"  2368 Beltrovata (1977 RA)",,2.3,2458600.5,2.104776677546984,.413375855774001,5.223547488978473,287.3404533458455,43.04304325364461,233.3091481455368,.232119
"  2608 Seneca (1978 DA)",,0.9,2458600.5,2.515689528604088,.5713304448434781,14.67781523640742,167.3641910916199,37.3687472988139,141.342851903501,.131765
"  3102 Krok (1981 QA)",S,1.6,2458600.5,2.15117111009953,.4493283297901474,8.441434704966229,172.0740746744588,154.715422693982,336.9429306928367,.183489
"  3103 Eger (1982 BB)",Xe,1.5,2458600.5,1.404185282465103,.3542354544211946,20.92911271257864,129.762372408811,254.0686243607444,199.3738318656949,.079032
"  3122 Florence (1981 ET3)",S,4.9,2458600.5,1.768889518826767,.4230601080787966,22.14239422414861,336.0804437562006,27.84121981424509,242.8720760633711,.0441982
"  3199 Nefertiti (1982 RA)",Sq,2.2,2458600.5,1.574459175382506,.2841461154298837,32.96161688953291,340.0066302720126,53.40777463426233,161.2485686203034,.215293
"  3200 Phaethon (1983 TB)",B,6.25,2458600.5,1.271372810515883,.8898976614653178,22.26024404856695,265.2162359606943,322.1855106119202,313.9389767098837,.0195545
"  3288 Seleucus (1982 DV)",K,2.8,2458600.5,2.033192006134566,.4560586841003369,5.930310137932565,218.6516955724429,349.3260862065908,281.105247304228,.102357
"  3360 Syrinx (1981 VA)",,1.8,2458600.5,2.465506025118422,.7459796068399062,21.16193521738387,242.5600726686446,63.4455628636977,260.7459492855737,.108618
"  3362 Khufu (1984 QA)",,0.7,2458600.5,.989537560450789,.4685174247283059,9.916838353353837,152.4376526441482,55.05381909473738,157.3147948656793,.013236
"  3551 Verenia (1983 RD)",,0.9,2458600.5,2.093061504619555,.4870367738441727,9.507939739488203,173.8138996490228,193.2293383688339,272.0206755570518,.0747389
"  3552 Don Quixote (1983 SA)",D,19.0,2458600.5,4.258927154158307,.7088439636790387,31.08108157302687,350.0027590955518,316.4480835325651,39.74116015123859,.333524
"  3554 Amun (1986 EB)",,3.341,2458600.5,.9736978573482672,.280410788961825,23.36009364976717,358.6177698611158,359.4132550967715,335.8390459877771,.250626
"  3671 Dionysus (1984 KD)",Cb,1.5,2458600.5,2.19861623099639,.5415435918949166,13.53438918374365,82.08738690737108,204.2520933442942,247.0577375594657,.0206197
"  3691 Bede (1982 FT)",Xc,4.3,2458600.5,1.774446530451572,.2841527294601945,20.35728376145975,348.7552861043116,234.9387484158116,231.2033371319069,.351907
"  3752 Camillo (1985 PA)",,2.306,2458600.5,1.413504837377648,.3017238580376251,55.55697058022474,147.9691158804839,312.2189381095076,275.8573153516587,.0785709
"  3753 Cruithne (1986 TO)",Q,2.071,2458600.5,.9976941535498141,.5148091708232941,19.8056494422318,126.2272109209331,43.84004869746413,130.8599697896228,.0708517
"  3757 Anagolay (1982 XB)",,0.5,2458600.5,1.834657448976245,.4460809806496622,3.868004339829231,74.96397793421005,17.20808698889347,220.4097840359877,.0367128
"  3908 Nyx (1980 PA)",V,1.0,2458600.5,1.927084705579217,.4594762469180053,2.185926605156033,261.2510573143405,126.6051178168928,149.182281928598,.0556973
"  3988 Huma (1986 LA)",,0.7,2458600.5,1.544453918336275,.316550891430077,10.7678962742176,229.8192325762651,86.87434990311782,9.40872925748941,.177574
"  4015 Wilson-Harrington (1979 VA)",,4,2458600.5,2.626611456134698,.6308639087606055,2.798292970809708,266.8186772785051,95.38820833663982,78.36583323138804,.0430867
"  4055 Magellan (1985 DO2)",V,2.49,2458600.5,1.820287780089132,.3261788530714085,23.25238269138794,164.8345161164332,154.37921417666,184.6453080695663,.239016
